publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Big Ant Studios,589.0,608.0,62.69768735766894,3,70.66666666666667,0.10644768651556696
Bigben Interactive,927.8571428571429,690.0,779.3650040409882,7,70.0,0.8399622830310881
Black Forest Games,1517.5,1517.5,910.0464273870866,2,80.0,0.5997011053621658
Blackmill Games,639.0,639.0,,1,67.0,0.5
Blizzard Entertainment,1742.25,1430.5,1838.8551465517887,4,79.5,1.0554484985230528
Blobfish,699.0,699.0,,1,76.0,0.5
Bohemia Interactive,2343.0,2343.0,,1,56.0,0.5
Born Ready Games,115.0,115.0,,1,78.0,0.5
Bossa Studios,396.0,396.0,,1,69.0,0.5
Brave At Night,214.0,214.0,,1,75.0,0.5
Broken Rules,761.0,761.0,,1,76.0,0.5
Bungie,2557.0,2557.0,2066.166014627092,2,85.0,0.8080430248834931
Butterscotch Shenanigans,366.0,366.0,,1,82.0,0.5
CD PROJEKT RED,1203.0,1325.0,543.370959842353,3,88.0,0.4516799333685395
CI Games,213.0,213.0,,1,75.0,0.5
Capcom,2892.5,2557.0,2663.550429453871,42,76.52380952380952,0.9208471666219087
Captain Games,16010.0,16010.0,,1,78.0,0.5
Cellar Door Games,516.0,516.0,,1,80.0,0.5
Chainsawesome Games,578.0,578.0,,1,71.0,0.5
Chengdu Huanqiu Shidai Technology Co,15402.0,15402.0,,1,78.0,0.5
Chucklefish,772.25,487.5,719.4489458705779,8,80.0,0.9316269936815511
Clever Endeavour Games,2495.0,2495.0,,1,80.0,0.5
Coconut Island Games,1277.3333333333333,1277.0,242.500171821245,3,79.66666666666667,0.18984877752185153
Coda Platform,14000.0,14000.0,,1,78.0,0.5
Codemasters,1407.4285714285713,1206.5,1059.2199389743753,14,80.07142857142857,0.7525923236724145
Coffee Stain,577.0,577.0,,1,78.0,0.5
Coffee Stain Studios,1164.5,593.5,1437.2743880924988,4,67.0,1.2342416385508792
Craftshop Arts,1157.0,1157.0,,1,55.0,0.5
Creative Bytes Studios,276.0,276.0,,1,79.0,0.5
Crescent Moon Games,186.0,186.0,,1,59.0,0.5
Crunching Koalas,1573.5,1573.5,806.8088373338508,2,73.5,0.5127479106030193
