publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
Douze Dixièmes,792.0,792.0,,1,78.0,0.5
Draw Distance,136.5,136.5,33.23401871576773,2,74.0,0.243472664584379
DreadXP,372.0,372.0,,1,76.0,0.5
DrinkBox Studios,547.5,547.5,214.2533546995239,2,82.0,0.3913303282183085
Dry Cactus,232.0,232.0,,1,73.0,0.5
EarthWork Games,438.0,438.0,,1,74.0,0.5
Eidos Interactive,7738.0,7738.0,,1,88.0,0.5
Electronic Arts,1073.125,579.0,1627.6575137733544,8,78.25,1.5167454991481462
Eleon Game Studios,3223.0,3223.0,,1,76.0,0.5
Elf Games,386.0,386.0,,1,76.0,0.5
Ellada Games,523.0,523.0,,1,76.0,0.5
EraKles,805.0,805.0,,1,76.0,0.5
Excalibur Games,486.3333333333333,377.0,220.37770607149292,3,76.0,0.45314127362198686
Exor Studios,823.0,823.0,,1,76.0,0.5
Failbetter Games,1128.0,1128.0,,1,87.0,0.5
Fatshark,498.6666666666667,436.0,180.35890145300104,3,78.33333333333333,0.3616822890100288
Fellow Traveller,624.0625,484.5,464.6615210738529,16,76.75,0.7445752966631594
Feral Interactive,560.0,517.0,340.5422147105994,3,82.33333333333333,0.6081110976974989
Finish Line Games,183.0,183.0,,1,65.0,0.5
Flamebait Games,179.0,179.0,,1,76.0,0.5
Flashbulb,122.0,122.0,,1,70.0,0.5
Flazm,382.0,382.0,,1,69.0,0.5
Flippfly,442.0,442.0,,1,76.0,0.5
Flow Fire Games,596.0,596.0,,1,76.0,0.5
Focus Entertainment,698.0,645.5,179.02593587043668,8,74.375,0.2564841488115139
Focus Home Interactive,704.65,655.0,332.82084243312454,20,75.4,0.47232078682058404
Forever Entertainment,475.0,475.0,,1,71.0,0.5
Freedom Games,697.5,697.5,50.204581464244875,2,75.0,0.07197789457239409
Frictional Games,477.0,366.0,193.1243122965102,3,80.0,0.40487277211008427
Friend & Foe,837.0,837.0,,1,56.0,0.5
Frontier Developments,546.75,587.0,341.415069966163,4,76.75,0.6244445724118207
Frontier Foundry,428.0,428.0,94.75230867899737,2,78.5,0.22138389878270412
Frozenbyte,516.5,516.5,48.79036790187178,2,78.0,0.09446344221078758
Fruitbat Factory,86.0,86.0,,1,76.0,0.5
Fulqrum Publishing,556.0,556.0,350.72496346852756,2,76.0,0.6308002940081431
Funcom,225.25,213.5,141.08478538335262,4,73.25,0.6263475488717097
GameMill Entertainment,147.0,147.0,,1,76.0,0.5
Games Operators,123.0,123.0,,1,62.0,0.5
Gearbox Publishing,898.6666666666666,868.0,476.7403206498621,3,79.0,0.530497389447176
Goblinz Publishing,600.3333333333334,711.0,297.84112095769,3,76.0,0.4961262425724986
Goblinz Studio,534.7142857142857,390.0,341.07951872728756,7,76.0,0.6378724635562418
Good Shepherd Entertainment,1011.8,882.0,440.1490656584426,5,74.4,0.4350158782945668
