game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Quest for Glory: So You Want to Be a Hero,10/1/1989,5/1/2025,,,"Sierra On-Line, Sierra Entertainment","Sierra Entertainment, Sierra On-Line",Xbox / PC
Riddle of the Sphinx,1/1/1982,5/1/2025,,,"Imagic, Life Tree Group",Life Tree Group,Xbox / PC
River Raid,8/1/1982,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
River Raid II,7/1/1988,5/1/2025,,,,MikDev,Xbox / PC
Robot Tank,3/1/1983,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Sky Jinks,11/1/1982,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Space Quest 2,1/1/1987,5/1/2025,,,"Sierra On-Line, Sierra Entertainment","Sierra Entertainment, Sierra On-Line",Xbox / PC
Space Quest 6,1/1/1995,5/1/2025,,,1C Company,"SNK, 1C Online Games",Xbox / PC
Space Treat Deluxe,4/1/2003,5/1/2025,,,Atari,Chris Sawyer Productions,Xbox / PC
Spider Fighter,1/1/1983,5/1/2025,,,"SUPERLEVEL, OOO",Superlevel,Xbox / PC
Star Voyager,4/1/1982,5/1/2025,,,"Acclaim, Imagic","Imagic, ASCII Entertainment",Xbox / PC
Tennis,3/1/1981,5/1/2025,,,"Nintendo, HUDSON SOFT","Nintendo, Intelligent Systems",Xbox / PC
The Adventures of Willy Beamish,1/1/1991,5/1/2025,,,"Activision Blizzard, Sierra On-Line, Sierra Entertainment",Dynamix,Xbox / PC
The Dagger of Amon Ra,1/1/1992,5/1/2025,,,Activision Blizzard,Sierra,Xbox / PC
Thwocker,1/1/1984,5/1/2025,,,,Yoke Mart,Xbox / PC
Title Match Pro Wrestling,7/1/1987,5/1/2025,,,,KAPPSULE,Xbox / PC
Torin's Passage,10/1/1995,5/1/2025,,,Activision Blizzard,Sierra,Xbox / PC
Trick Shot,1/1/1982,5/1/2025,,,"Neobite Games, PLEXUS GAME, Jonathan Topf","Neobite Games, Jonathan Topf, PLEXUS GAME",Xbox / PC
Vault Assault,8/1/2001,5/1/2025,,75,Inkle,inkle,Xbox / PC
Venetian Blinds,1/1/1981,5/1/2025,,,,Mike Agresta,Xbox / PC
Zork I: The Great Underground,1/1/1980,5/1/2025,,,"Mastertronic, Infocom, Tandy, SystemSoft, Personal Software, Commodore Business Machines",Infocom,Xbox / PC
Zork Zero: The Revenge of Megaboz,10/1/1988,5/1/2025,,,"Activison, Infocom",Infocom,Xbox / PC
Monster Train 2,5/1/2025,5/1/2025,,90,Big Fan Games,Shiny Shoe,Xbox / PC
DOOM: The Dark Ages,5/1/2025,5/1/2025,,85,Bethesda Softworks,id Software,Xbox / PC
Firefighting Simulator: The Squad,12/1/2022,5/1/2025,,60,Astragon Entertainment,Chronos Unterhaltungssoftware,Xbox / PC
Police Simulator: Patrol Officers,11/1/2022,5/1/2025,,58,Astragon Entertainment,Aesir Interactive,Xbox / PC
Kulebra and the Souls of Limbo,5/1/2025,5/1/2025,,73,Galla,Galla,Xbox / PC
Warhammer: Vermintide 2,3/1/2018,5/1/2025,,83,Fatshark,Fatshark,Xbox
Revenge of the Savage Planet,5/1/2025,5/1/2025,,77,Raccoon Logic Studios,Raccoon Logic Studios,Xbox / PC
Dragon Ball Xenoverse 2,10/1/2016,5/1/2025,,72,"Bandai Namco Entertainment, BANDAI NAMCO Entertainment US","BANDAI NAMCO Entertainment America, QLOC, DIMPS",Xbox / PC
DREDGE,3/1/2023,5/1/2025,,80,Team17 Digital,Black Salt Games,Xbox / PC
Anno 1800,4/1/2019,5/1/2025,,81,Ubisoft Entertainment,Blue Byte,Xbox / PC
Call of Duty: Modern Warfare II,10/1/2022,5/1/2025,,75,Activison,Infinity Ward,Xbox / PC
Far Cry 4,11/1/2014,4/1/2025,,85,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",Xbox / PC
Towerborne (Game Preview),4/1/2025,4/1/2025,,,Holospark,Holospark,Xbox / PC
Clair Obscur: Expedition 33,4/1/2025,4/1/2025,,92,Kepler Interactive,"Sundial Interactive, Sandfall Interactive",Xbox / PC
The Elder Scrolls IV: Oblivion - Remastered,4/1/2025,4/1/2025,,82,Bethesda Softworks,"Bethesda Game Studios, Virtuos",Xbox / PC
Crime Scene Cleaner,8/1/2024,4/1/2025,,77,Grippens Castle,Grippens Castle,Xbox / PC
Tempopo,4/1/2025,4/1/2025,,74,CULT Games,Witch Beam,Xbox / PC
SpongeBob SquarePants: The Patrick Star Game,10/1/2024,4/1/2025,,67,Outright Games,PHL Collective,Xbox / PC
Grand Theft Auto V,9/1/2013,4/1/2025,,97,Rockstar Games,"Rockstar North, Rockstar Games",Xbox / PC
Blue Prince,4/1/2025,4/1/2025,,93,Raw Fury,Dogubomb,Xbox / PC
NHL 25,4/1/2025,4/1/2025,,66,Electronic Arts,Electronic Arts,Xbox
Commandos: Origins,4/1/2025,4/1/2025,,76,Kalypso Media,"Claymore Games, Claymore Game Studios",Xbox / PC
Diablo III: Reaper of Souls - Ultimate Evil Edition,8/1/2014,4/1/2025,,90,Blizzard Entertainment,,Xbox / PC
South of Midnight,4/1/2025,4/1/2025,,77,Xbox Game Studios,Compulsion Games,Xbox / PC
Atomfall,3/1/2025,3/1/2025,,75,Rebellion,Rebellion,Xbox / PC
EA Sports College Football 25,7/1/2024,3/1/2025,,83,Electronic Arts,"Electronic Arts, EA Canada & EA Romania",Xbox
Blizzard Arcade Collection,2/1/2021,3/1/2025,,75,"Activision Blizzard, Blizzard Entertainment",,Xbox / PC
Mythwrecked: Ambrosia Island,12/1/2024,3/1/2025,,62,Whitethorn Games,Polygon Treehouse,Xbox / PC
33 Immortals (Game Preview),3/1/2025,3/1/2025,,54,"Toadman Interactive, Game Odyssey","Toadman Interactive, SOLD OUT SALES & MARKETING",Xbox / PC
Mullet Madjack,5/1/2024,3/1/2025,,88,"Epopeia Games, HAMMER95",HAMMER95,Xbox / PC
Enter the Gungeon,4/1/2016,3/1/2025,,85,Devolver Digital,Dodge Roll,Xbox / PC
One Lonely Outpost,6/1/2023,3/1/2025,,60,Freedom Games,Freedom Games,Xbox / PC
Monster Train,5/1/2020,3/1/2025,,85,"Good Shepherd Entertainment, Gambitious","Good Shepherd Entertainment, Shiny Shoe",Xbox / PC
Watch Dogs: Legion,10/1/2020,2/1/2025,,76,Ubisoft Entertainment,"Ubisoft, Ubisoft Toronto",Xbox / PC
Balatro,11/1/2024,2/1/2025,,90,PlayStack,LocalThunk,Xbox / PC
F1 24,5/1/2024,2/1/2025,,72,Electronic Arts,Codemasters,Xbox / PC
"Warhammer 40,000: Rogue Trader",9/1/2024,2/1/2025,,86,Owlcat Games,Owlcat Games,Xbox / PC
Avowed,2/1/2025,2/1/2025,,81,Xbox Game Studios,Obsidian Entertainment,Xbox / PC
Kingdom: Two Crowns,12/1/2018,2/1/2025,,84,Raw Fury,"Raw Fury, Noio, Coatsink, Fury Studios, StumpySquid",Xbox / PC
